id,name,code,code_name,division_type,short_code_name,order,is_usable,master_province_id
567,Huyện Củ Chi,783,huyen_cu_chi,huyện,cu_chi,783,true,50
568,Huyện Hóc Môn,784,huyen_hoc_mon,huyện,hoc_mon,784,true,50
569,Huyện Bình Chánh,785,huyen_binh_chanh,huyện,binh_chanh,785,true,50
570,Huyện Nhà Bè,786,huyen_nha_be,huyện,nha_be,786,true,50
571,Huyện Cần Giờ,787,huyen_can_gio,huyện,can_gio,787,true,50
572,Thành phố Tân An,794,thanh_pho_tan_an,thành phố,tan_an,794,true,51
573,Thị xã Kiến Tường,795,thi_xa_kien_tuong,thị xã,kien_tuong,795,true,51
574,Huyện Tân Hưng,796,huyen_tan_hung,huyện,tan_hung,796,true,51
575,Huyện Vĩnh Hưng,797,huyen_vinh_hung,huyện,vinh_hung,797,true,51
576,Huyện Mộc Hóa,798,huyen_moc_hoa,huyện,moc_hoa,798,true,51
577,Huyện Tân Thạnh,799,huyen_tan_thanh,huyện,tan_thanh,799,true,51
578,Huyện Thạnh Hóa,800,huyen_thanh_hoa,huyện,thanh_hoa,800,true,51
579,Huyện Đức Huệ,801,huyen_duc_hue,huyện,duc_hue,801,true,51
580,Huyện Đức Hòa,802,huyen_duc_hoa,huyện,duc_hoa,802,true,51
581,Huyện Bến Lức,803,huyen_ben_luc,huyện,ben_luc,803,true,51
582,Huyện Thủ Thừa,804,huyen_thu_thua,huyện,thu_thua,804,true,51
583,Huyện Tân Trụ,805,huyen_tan_tru,huyện,tan_tru,805,true,51
584,Huyện Cần Đước,806,huyen_can_duoc,huyện,can_duoc,806,true,51
585,Huyện Cần Giuộc,807,huyen_can_giuoc,huyện,can_giuoc,807,true,51
586,Huyện Châu Thành,808,huyen_chau_thanh,huyện,chau_thanh,808,true,51
587,Thành phố Mỹ Tho,815,thanh_pho_my_tho,thành phố,my_tho,815,true,52
588,Thị xã Gò Công,816,thi_xa_go_cong,thị xã,go_cong,816,true,52
589,Thị xã Cai Lậy,817,thi_xa_cai_lay,thị xã,cai_lay,817,true,52
590,Huyện Tân Phước,818,huyen_tan_phuoc,huyện,tan_phuoc,818,true,52
591,Huyện Cái Bè,819,huyen_cai_be,huyện,cai_be,819,true,52
592,Huyện Cai Lậy,820,huyen_cai_lay,huyện,huyen_cai_lay,820,true,52
593,Huyện Châu Thành,821,huyen_chau_thanh,huyện,chau_thanh,821,true,52
594,Huyện Chợ Gạo,822,huyen_cho_gao,huyện,cho_gao,822,true,52
595,Huyện Gò Công Tây,823,huyen_go_cong_tay,huyện,go_cong_tay,823,true,52
596,Huyện Gò Công Đông,824,huyen_go_cong_dong,huyện,go_cong_dong,824,true,52
597,Huyện Tân Phú Đông,825,huyen_tan_phu_dong,huyện,tan_phu_dong,825,true,52
598,Thành phố Bến Tre,829,thanh_pho_ben_tre,thành phố,ben_tre,829,true,53
599,Huyện Châu Thành,831,huyen_chau_thanh,huyện,chau_thanh,831,true,53
600,Huyện Chợ Lách,832,huyen_cho_lach,huyện,cho_lach,832,true,53
601,Huyện Mỏ Cày Nam,833,huyen_mo_cay_nam,huyện,mo_cay_nam,833,true,53
602,Huyện Giồng Trôm,834,huyen_giong_trom,huyện,giong_trom,834,true,53
603,Huyện Bình Đại,835,huyen_binh_dai,huyện,binh_dai,835,true,53
604,Huyện Ba Tri,836,huyen_ba_tri,huyện,ba_tri,836,true,53
605,Huyện Thạnh Phú,837,huyen_thanh_phu,huyện,thanh_phu,837,true,53
606,Huyện Mỏ Cày Bắc,838,huyen_mo_cay_bac,huyện,mo_cay_bac,838,true,53
607,Thành phố Trà Vinh,842,thanh_pho_tra_vinh,thành phố,tra_vinh,842,true,54
608,Huyện Càng Long,844,huyen_cang_long,huyện,cang_long,844,true,54
609,Huyện Cầu Kè,845,huyen_cau_ke,huyện,cau_ke,845,true,54
610,Huyện Tiểu Cần,846,huyen_tieu_can,huyện,tieu_can,846,true,54
611,Huyện Châu Thành,847,huyen_chau_thanh,huyện,chau_thanh,847,true,54
612,Huyện Cầu Ngang,848,huyen_cau_ngang,huyện,cau_ngang,848,true,54
613,Huyện Trà Cú,849,huyen_tra_cu,huyện,tra_cu,849,true,54
614,Huyện Duyên Hải,850,huyen_duyen_hai,huyện,huyen_duyen_hai,850,true,54
615,Thị xã Duyên Hải,851,thi_xa_duyen_hai,thị xã,duyen_hai,851,true,54
616,Thành phố Vĩnh Long,855,thanh_pho_vinh_long,thành phố,vinh_long,855,true,55
617,Huyện Long Hồ,857,huyen_long_ho,huyện,long_ho,857,true,55
618,Huyện Mang Thít,858,huyen_mang_thit,huyện,mang_thit,858,true,55
619,Huyện Vũng Liêm,859,huyen_vung_liem,huyện,vung_liem,859,true,55
620,Huyện Tam Bình,860,huyen_tam_binh,huyện,tam_binh,860,true,55
621,Thị xã Bình Minh,861,thi_xa_binh_minh,thị xã,binh_minh,861,true,55
622,Huyện Trà Ôn,862,huyen_tra_on,huyện,tra_on,862,true,55
623,Huyện Bình Tân,863,huyen_binh_tan,huyện,binh_tan,863,true,55
624,Thành phố Cao Lãnh,866,thanh_pho_cao_lanh,thành phố,cao_lanh,866,true,56
625,Thành phố Sa Đéc,867,thanh_pho_sa_dec,thành phố,sa_dec,867,true,56
626,Thành phố Hồng Ngự,868,thanh_pho_hong_ngu,thành phố,hong_ngu,868,true,56
627,Huyện Tân Hồng,869,huyen_tan_hong,huyện,tan_hong,869,true,56
628,Huyện Hồng Ngự,870,huyen_hong_ngu,huyện,huyen_hong_ngu,870,true,56
629,Huyện Tam Nông,871,huyen_tam_nong,huyện,tam_nong,871,true,56
630,Huyện Tháp Mười,872,huyen_thap_muoi,huyện,thap_muoi,872,true,56
631,Huyện Cao Lãnh,873,huyen_cao_lanh,huyện,huyen_cao_lanh,873,true,56
632,Huyện Thanh Bình,874,huyen_thanh_binh,huyện,thanh_binh,874,true,56
633,Huyện Lấp Vò,875,huyen_lap_vo,huyện,lap_vo,875,true,56
634,Huyện Lai Vung,876,huyen_lai_vung,huyện,lai_vung,876,true,56
635,Huyện Châu Thành,877,huyen_chau_thanh,huyện,chau_thanh,877,true,56
636,Thành phố Long Xuyên,883,thanh_pho_long_xuyen,thành phố,long_xuyen,883,true,57
637,Thành phố Châu Đốc,884,thanh_pho_chau_doc,thành phố,chau_doc,884,true,57
638,Huyện An Phú,886,huyen_an_phu,huyện,an_phu,886,true,57
639,Thị xã Tân Châu,887,thi_xa_tan_chau,thị xã,tan_chau,887,true,57
640,Huyện Phú Tân,888,huyen_phu_tan,huyện,phu_tan,888,true,57
641,Huyện Châu Phú,889,huyen_chau_phu,huyện,chau_phu,889,true,57
642,Huyện Tịnh Biên,890,huyen_tinh_bien,huyện,tinh_bien,890,true,57
643,Huyện Tri Tôn,891,huyen_tri_ton,huyện,tri_ton,891,true,57
644,Huyện Châu Thành,892,huyen_chau_thanh,huyện,chau_thanh,892,true,57
645,Huyện Chợ Mới,893,huyen_cho_moi,huyện,cho_moi,893,true,57
646,Huyện Thoại Sơn,894,huyen_thoai_son,huyện,thoai_son,894,true,57
647,Thành phố Rạch Giá,899,thanh_pho_rach_gia,thành phố,rach_gia,899,true,58
648,Thành phố Hà Tiên,900,thanh_pho_ha_tien,thành phố,ha_tien,900,true,58
649,Huyện Kiên Lương,902,huyen_kien_luong,huyện,kien_luong,902,true,58
650,Huyện Hòn Đất,903,huyen_hon_dat,huyện,hon_dat,903,true,58
651,Huyện Tân Hiệp,904,huyen_tan_hiep,huyện,tan_hiep,904,true,58
652,Huyện Châu Thành,905,huyen_chau_thanh,huyện,chau_thanh,905,true,58
653,Huyện Giồng Riềng,906,huyen_giong_rieng,huyện,giong_rieng,906,true,58
654,Huyện Gò Quao,907,huyen_go_quao,huyện,go_quao,907,true,58
655,Huyện An Biên,908,huyen_an_bien,huyện,an_bien,908,true,58
